nama;harga;lokasi;toko;rating;terjual
ASUS ROG ZEPHYRUS M16 GU603ZM INTEL I7 12700H RTX 3060-6GB;Rp16.799.000;Bandung;BELILAPTOP ID;5.0;2 terjual
IDEAPAD GAMING 3 15ACH6 - V0ID;Rp13.000.000;Jakarta Pusat;RapidKlik;;
Laptop gaming Asus ROG STRIX G15 AMD Ryzen 7 32GB DDR5 Nvidia RTX 3060;Rp14.299.000;Bandung;BELILAPTOP ID;;1 terjual
ASUS TUF GAMING A15 FA507RC-R735B7G-O R7-6800H 16GB 512GB RTX3050;Rp14.950.000;Medan;MEDANGROSIR 2020;;
Laptop gaming Asus TUF F15 intel core i7 40 GB 1TB Nvidia RTX 3050 Ti - 16GB | 1TB, UNIT BONUS;Rp12.599.000;Bandung;BELILAPTOP ID;;
ACER Nitro V 15 ANV15 51 542G RTX2050 i5 13420H 8/512GB SSD FHD 144Hz;Rp11.803.000;Kab. Sleman;Anandam Computer;;
LAPTOP ASUS TUF GAMING FX507Z I7-12700h RAM 8GB NVME 512GB RTX3050;Rp15.000.000;Jakarta Pusat;Supernova Computer HARCO;;
HP Pavilion Gaming 15-EC0107AX AMD Ryzen 5 3550H, RAM 8GB, SSD 512GB;Rp8.000.000;Jakarta Selatan;cplphotolovers;;
ACER NITRO V 15 RTX2050 4GB I5 13420H 8GB 512GB W11+OHS 15.6FHD;Rp10.649.000;Jakarta Pusat;LAPTOP GADGET ID;;1 terjual
LENOVO IDEAPAD SLIM 3 14 I5 1155G7 8GB 512GB;Rp8.093.000;Jakarta Pusat;PazCom;;
"Lenovo Gaming 3 15ARH7 JHID R5 7535HS 8GB 512SSD RTX2050 15,6"" FHD W11";Rp11.399.000;Malang;kharismakencana;5.0;2 terjual
HP Pavilion Gaming 15-ec0001AX AMD R5 3550H 8GB SSD 512GB GTX1050 3GB;Rp9.075.000;Jakarta Pusat;digicomputer;5.0;1 terjual
AsusTUF GAMING F15 FX506LH Intel Core i5-10300H 8GB SSD 512GB GTX 1650;Rp8.199.000;Bandung;backtolaptop BANDUNG;;
Murah Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5600H RTX 3050 8GB 512GB;Rp8.124.000;Jakarta Barat;toko elektronikmagans;;
"Laptop Lenovo IdeaPad Slim 3 14IAH8 i5 12450H 8GB 512GB W11+OHS 14""FHD";Rp8.179.000;Jakarta Pusat;Kingz Notebook;5.0;23 terjual
Asus TUF Gaming FX 505 DT amd Ryzen 5 3550H Ram 8GB Ssd 512GB Second;Rp7.750.000;Kab. Bantul;AVILLLA STORE;;
Laptop Dell Inspiron 15 7000 Gaming Intel Core i7-7700HQ 8GB 512GB+1TB;Rp6.499.000;Bandung;backtolaptop BANDUNG;;
LENOVO LEGION 5 15 I7 12700 RTX3070TI 8GB/ 16GB 512GB W11 15.6FHD IPS;Rp19.799.000;Jakarta Utara;Gaming Laptop ID;;
HP Victus Gaming 15 FA1094TX Intel Ci5 12450H 8GB 512GB RTX2050 144Hz;Rp10.649.000;Kab. Bogor;IT Galeri Cibinong City Mall;;
ACER NITRO V 15 ANV15-51 i5-13420H RTX 2050 RAM 8GB 512GB SSD 144Hz;Rp13.859.010;Jakarta Pusat;TeknoTrend;;
Laptop gaming MSI Gf65 Intel Core i7-10750H 8/512GB GTX 1660ti Mulus;Rp8.550.000;Bandung;69computer;;
PRJ Lenovo LOQ 15 Gaming Rtx4050 6gb I7 13620H 8gb 512 ssd Win 11;Rp16.899.000;Jakarta Pusat;LAPTOP GADGET ID;;1 terjual
"ASUS TUF GAMING FX507ZC4 i5 12500H 8GB 512GB RTX3050 15,6"" IPS 144HZ";Rp12.950.000;Malang;kharismakencana;;
ACER NITRO V15 ANV15 51 542G I5-13420H 8GB 512GB RTX2050 4GB FHD WIN11;Rp10.859.000;Jakarta Pusat;Victory Notebook;;
MSI THIN 15 B12UCX 1677ID RTX2050 Intel Core i7-12650H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp11.419.000;Malang;GASOL LAPTOP;;
Lenovo Ideapad Gaming 3 Intel core i5 Gen10 Gtx 1650 8gb 512gb beklit;Rp7.000.000;Bandung;LaptoVedia;;
"LAPTOP LENOVO IDEAPAD GAMING 3-15ACH6 RYZEN 7-5800H RAM 8GB SSD 512GB
";Rp11.150.000;Surabaya;Brahmasta comp;;
Laptop Lenovo Legion Y50 Cor i7-4720HQ Ram 8Gb SSD 512Gb GTX 960M 4Gb;Rp5.700.000;Jakarta Barat;kajoedstore17;;
"LENOVO IP Gaming 3 15IHU6 E2ID i5-11300H RTX3050 8GB 512GB 15,6"" 165HZ";Rp12.999.000;Malang;kharismakencana;5.0;3 terjual
LENOVO IDEAPAD 3 15ACH6-7FID RTX2050 Ryzen 5 5500H 512GB SSD 8GB RAM;Rp9.950.000;Malang;GASOL LAPTOP;;
LENOVO IDEAPAD SLIM 3 AMD RYZEN 7 7730U 8GB 512GB W11 OHS 14.0FHD IPS;Rp9.199.000;Jakarta Utara;Top Tech;5.0;1 terjual
ASUS ROG Zephyrus G14 GA401QH-R765B6T-O AMD R7-5800H/ 8GB/ 512GB SSD;Rp18.799.000;Semarang;Abadi Notebook;5.0;1 terjual
MSI GAMING THIN GF63 12UC 9S7-16R821-1077 i5-12450H RTX3050 8GB 512GB;Rp11.094.000;Jakarta Pusat;Parade IT;;
ASUS TUF Gaming F15 FX506HF i7-11800H 16GB 512GB RTX2050 144Hz OHS W11;Rp11.999.000;Kab. Sleman;StarComp;;
MSI GAMING THIN GF63 12UC 9S7-16R821-1077 i5-12450H RTX3050 8GB 512GB;Rp11.094.000;Jakarta Pusat;Sukses IT;;
Laptop Lenovo Ideapad S340-14API AMD Ryzen 3 3200U RAM 8GB SSD 512GB;Rp3.500.000;Tangerang;RFP Shopping;;
Laptop Lenovo Ideapad Slim 3 Amd Ryzen 5-4500U Ram 8/512Gb ORI GARANSI;Rp5.000.000;Jakarta Barat;BURSA_LAPTOP_EFEK;;
Laptop HP Gaming Victus 15-FA1094TX I5 12450H 8GB 512GB RTX 2050;Rp11.099.000;Kab. Sleman;Semesta Jaya Computer;;
Acer Nitro 5 Intel Core I7 9750 RAM 8GB SSD 512GB GTX 1660 Ti LED 15.6;Rp14.000.000;Jakarta Utara;Getcomp;5.0;1 terjual
Lenovo Ideapad Gaming 3 Ryzen 5 5500H 512GB SSD 8GB IPS Win11+OHS;Rp9.299.000;Malang;septian akun shop;;
ASUS Gaming TUF A15 FA506NF Ryzen 5 7535HS RTX 2050 16GB 512GB FHD;Rp11.650.000;Medan;MEDANGROSIR 2020;;
"ASUS ROG Strix G16 G614JIR-I947C6G-O I9 14900HX RTX4070 32GB 1TB SSD W11 OHS 16"" QHD+ 240HZ - Eclipse Gray - 32GB, 1TB";Rp41.999.000;Jakarta Pusat;ASUS ROG Official Store;;
Laptop gaming MSI GF63 12UCX intel core i5 32GB 1TB RTX 2050-4GB - 8GB | 512GB, UNIT BONUS;Rp9.499.000;Bandung;BELILAPTOP ID;;
Lenovo Legion Pro 5i i7-14650HX RTX4060 1TB SSD 16GB IPS 240Hz Win11;Rp28.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
Lenovo Thinkpad T460/T470 i7GEN7 | RAM 16GB SSD 512GB /T460 i5-6,8/128;Rp3.000.000;Jakarta Utara;PRATAMA COMPUTR;;
Laptop HP 14s-dq3109TU Celeron UHD 8GB RAM 256GB SSD W11 14 Inch Intel - 14s-dq3109TU;Rp4.584.000;;;4.9;2 rb+ terjual
Laptop HP 15s-eq2087AU Ryzen 3 Radeon 8GB RAM 512GB W11 15.6 Inch AMD - 14s-fq1009AU;Rp5.799.000;;;4.9;100+ terjual
Laptop HP 240 G9 Core i3 UHD 8GB RAM 256GB SSD W11 14 Inch Intel - HP 240 G9;Rp5.799.000;;;5.0;100+ terjual
Lenovo IdeaPad Gaming 3 15ACH6 Ryzen 5 5500H 8 512 RTX 2050 4GB W11OHS;Rp9.999.000;Jakarta Pusat;Lenovo Official;4.8;40+ terjual
Acer Nitro V 15 ANV15-51-74ZW GeForce RTX™ 4050 i7-13620H 16GB 512GB;Rp17.249.000;Jakarta Timur;Acer Store Official;5.0;5 terjual
Lenovo IdeaPad 3 14ABA7 Ryzen 7;Rp8.899.000;Jakarta Pusat;AMT IT Store;5.0;1 terjual
ACER LAPTOP NITRO V 15 ANV15-51-542G 15.6 I5-13420H 8GB 512GB RTX 2050;Rp11.249.000;Jakarta Timur;Acer Store Official;5.0;70+ terjual
"LAPTOP SLIM LENOVO IDEAPAD SLIM INTEL I3 12GB 512GB SSD 14""FHD WIN11";Rp4.000.000;Tangerang Selatan;Super Store Laptop;5.0;4 terjual
LENOVO LOQ Gaming 5AHP9 83DX0037ID Ryzen 5 8645HS 8GB 512GB 4050 W11 ;Rp15.845.000;Jakarta Pusat;Sukses IT;;
"ACER PREDATOR HELIOS NEO 16 PHN16 i5 13500HX 8GB 512GB RTX4050 16"" W11";Rp16.445.000;Jakarta Utara;Infonet Official Store;;
LENOVO LOQ Gaming 5AHP9 83DX0037ID Ryzen 5 8645HS 8GB 512GB 4050 W11 ;Rp15.845.000;Jakarta Pusat;Parade IT;;
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5500 8GB 512GB 15.6"" W11";Rp9.999.000;Bandung;MyHartono Tech Zone;;
Acer Nitro V ANV15-51-542G i5-13420H/8GB/512GB/RTX2050/15.6/144HZ/WIN;Rp10.999.000;Kab. Bogor;IT Galeri Cibinong City Mall;;
ACER LAPTOP NITRO V 15 ANV15-51-5115 15.6 I5-13420H 8GB 512GB RTX 4050;Rp15.249.000;Jakarta Timur;Acer Store Official;5.0;18 terjual
LAPTOP LENOVO IDEAPAD SLIM 1 14 N4020 8GB 512SSD W11+OFFICE365 14.0HD - 4/256+OFFICE, LAPTOP;Rp3.799.000;Jakarta Utara;ProStoreComputer;4.9;50+ terjual
"HP Victus 15.6 inch Gaming Laptop 15-fa1094TX [15""FHD,i5-1240H,RTX2050,8G,512G,SLR]";Rp10.199.000;Jakarta Timur;ARENA_IT;;
MSI THIN 15 B13UC 1430ID RTX3050 Intel Core i7-13620H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp12.889.000;Malang;GASOL;;
"Lenovo Laptop IdeaPad 5 2-in-1 Core™ 5 120U 16G 512G 14"" OLED W11 OHS";Rp13.599.000;Jakarta Pusat;Protech Computer;;
LENOVO IDEAPAD SLIM 3 14ALC6 RYZEN 3-5300U 8GB 512GB SSD FHD W11 OHS;Rp7.799.000;Jakarta Pusat;KBM 24 STORE;5.0;1 terjual
Laptop ASUS ROG STRIX G513RC AMD Ryzen 7 6k series, RTX3050 (8/512);Rp13.500.000;Kab. Sleman;HERO COMPUTER JOGJA;;1 terjual
Lenovo LOQ Gaming 15IRX9 Core i5 13450HX RTX4050 8GB 512GB FHD IPS W11;Rp15.750.000;Malang;F modern store;;
Asus ROG Strix G731GT i5-9300H | 4GB GTX1650 | 8GB | 512GB | Win10;Rp13.150.000;Jakarta Barat;V2 ELECTRONIC;;
Laptop ASUS TUF Gaming F16 FX607JU i7-13650HX RTX4050 16GB 512GB SSD FHD+ W11;Rp20.849.000;Jakarta Barat;Conan Tech;;
LAPTOP LENOVO IDEAPAD FLEX 5 INTEL I3 1215U 8 512GB TOUCHSCREEN;Rp7.200.000;Depok;Giant Computer;5.0;1 terjual
ASUS FX705GM-I7664T TUF GAMING LAPTOP i7-8750H/8GB/512GB/GTX1060 6GB;Rp14.950.000;Jakarta Pusat;BMJC;;
ASUS TUF GAMING F15 FX506HF-I725B6T-O - i7 11800H 8GB 512GB;Rp12.000.000;Jakarta Pusat;DIGITALZONE DUSIT;;
ACER NITRO V ANV15 51 i5 13420H RTX4050 8GB 512GB SSD 15.6 FHD W11 OHS;Rp14.490.000;Jakarta Pusat;KING Laptop Store;;
Laptop Gaming Toshiba Z50C - Core i7 Gen6 - SSD 512 - 8GB - Nvidia 2GB;Rp6.899.000;Jakarta Barat;Specialist Laptop Second;;40+ terjual
Notebook ACER Predator Helios 500 PH517-61-R7WN R7-2700 16GB 1TB+256GB;Rp17.999.000;Surabaya;dbclick;5.0;1 terjual
LAPTOP MURAH LENOVO IDEAPAD SLIM 1 15 N6000 12GB 512GB SSD FHD WIN11 - 1BLN 4GB 128GB, UNIT BONUS;Rp3.299.000;Bekasi;KLIK Tech;5.0;2 terjual
LAPTOP DESIGN LENOVO IDEAPAD SLIM 3I 14ITL6 CORE I7 GEN 11 RAM 8GB NEW;Rp14.300.000;Jakarta Timur;cv. sparta computindo;;
"Laptop Murah Lenovo Ideapad Slim 1 15 Intel Pentium N5030 4Gb 640Gb SSD 15.6"" Win11 - 128GB EMMC, PROMO UNIT";Rp3.749.000;Bekasi;KLIK Tech;;
Laptop Termurah Lenovo Ideapad Slim 3i 14 Intel i3 1115G4 RAM 12GB 512GB SSD FHD Windows Original - SECOND 1BULAN, 4GB,128GB;Rp4.000.000;Tangerang Selatan;NUSANTARA COMPUTER ID;;
MSI CYBORG 15 A13VE 683ID RTX4050 Intel Core i5-13420H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp14.499.000;Malang;GASOL LAPTOP;;
Lenovo LOQ Gaming 15AHP9 - AMD Ryzen 5 8645HS 8GB 512GB SSD RTX™4050 6GB;Rp16.489.000;Jakarta Pusat;AMT IT Store;;
SLIM AND STYLISH ! LENOVO IDEAPAD S145 CORE i3 GEN 8 RAM 8GB/512GB SSD;Rp3.500.000;Jakarta Barat;RedStar Electronic;5.0;10 terjual
MSI THIN A15 B7VE-015ID RTX4050 AMD Ryzen 5 7535HS 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp13.739.000;Malang;GASOL LAPTOP;;
"Lenovo LOQ Gaming i5-12450HX Intel Arc A530M 4GB 8GB 512GB SSD 15.6"" FHD Win11Home + OHS 2021";Rp11.699.000;Jakarta Pusat;theidea_co;;
Asus TUF Gaming A15 FA506NF R525B6T R5 7535HS 8GB 512GB RTX2050 4GB;Rp11.425.000;Kab. Sleman;Semesta Jaya Computer;;
Lenovo IdeaPad Gaming 3 15ARH7 R5-6600H 8GB 512GB RTX3050 4GB W11-B8ID;Rp15.236.000;Jakarta Pusat;Yolori;;1 terjual
ACER Nitro V15 ANV15-51-5115 RTX4050 Core i5-13420H 512GB SSD 8GB RAM;Rp14.674.000;Malang;GASOL;;
LENOVO IDEAPAD GAMING 3 7FID AMD RYZEN 5-5500H 8GB 512GB RTX 2050 W11;Rp10.799.000;Jakarta Pusat;Getz Computer;;
PRJ Lenovo IdeaPad Slim 3 14 Ryzen 3 4300U 8GB 512 ssd Win 10;Rp6.500.000;Jakarta Pusat;LAPTOP GADGET ID;5.0;2 terjual
LENOVO LOQ 15IAX9 1JID RTX3050 Intel Core I5 12450HX 12GB RAM 512GB SSD Gaming Notebook / Laptop;Rp12.616.000;Malang;GASOL;;
LAPTOP KERJA LENOVO IDEAPAD SLIM 3 14 Intel core i3 512GB SSD - 1 BULAN, 4GB | 128GB;Rp4.000.000;Bandung;BELILAPTOP ID;5.0;50+ terjual
MSI CYBORG 15 AI A1VEK-009ID RTX4050 Intel Ultra 7 155H 512GB SSD 16GB RAM Gaming Notebook / Laptop;Rp19.869.000;Malang;GASOL;;
Laptop 2in1 Lenovo Ideapad Flex 5 14 AMD Ryzen 7 7730U 16GB 1TB SSD - SECOND, 512GB SSD;Rp8.700.000;Tangerang Selatan;Super Store Laptop;;
Dell Gaming Notebook Laptop G15 5515 - R5 - 256 - 8 - Win - OHS - VGA;Rp17.471.000;Surabaya;Technosify;;
MSI THIN A15 B7UC-016ID RTX3050 AMD Ryzen 5 7535HS 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp12.459.000;Malang;GASOL LAPTOP;;
LENOVO LOQ Gaming 5AHP9 83DX0037ID Ryzen 5 8645HS 8GB 512GB 4050 W11;Rp15.999.000;Malang;alibabastore.id;;
LENOVO IDEAPAD GAMING 3 JHID RYZEN 5-7535HS 8GB 512GB RTX2050 W11 OHS;Rp11.449.000;Yogyakarta;Juragan IT Djogja;;
Lenovo IdeaPad 1 14IGL7 8BID Intel Celeron N4020 8GB 512GB W11 + OHS;Rp5.099.000;Bandar Lampung;SSYNERGY;5.0;4 terjual
"LENOVO LAPTOP GAMING 3 - 7FID AMD R5-5500H 8GB 512GB RTX2050 4GB 15.6"" FHD WIN11+OHS - SHADOW BLACK";Rp10.500.000;Jakarta Pusat;JKT GADGET ID;;
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB 15.6FHD 144HZ IPS;Rp11.298.000;Bandung;Gamer ID Bandung;;1 terjual
"LENOVO IdeaPad Gaming 3
Ryzen 5 5500H 8GB 512GB RTX 2050 W11 OHS 2021";Rp10.990.000;Balikpapan;Green Computer Balikpapan;;
Lenovo Gaming LOQ C9iD Ryzen 7-7840HS|8GB|512GB|RTX3050|Win11 Home+OHS;Rp14.000.000;Jakarta Pusat;YouTech;;
asus rog zephyrus g14 ga401ii ryzen 5 4600hs/vga gtx 1650TI/8gb/512gb;Rp11.000.000;Bandung;WawallstoreLaptop;;
Acer NITRO 5 AN515-56 Intel Core i5-11300H 8GB SSD 512GB GTX 1650;Rp8.550.000;Bandung;StoryLaptop Bandung;;
ACER Nitro V15 ANV15-51-5115 RTX4050 Core i5-13420H 512GB SSD 8GB RAM;Rp14.539.000;Malang;GASOL LAPTOP;;
Asus TUF Gaming F15 fx506hf i7-11800H 16GB 512gb rtx2050 4GB ohs w11;Rp11.990.000;Kab. Kediri;DENZACOM STORE;5.0;5 terjual
Lenovo Legion Y540 Intel Core i5-9300H Ram 8/512 GB (1XCG4T) ;Rp5.500.000;Tangerang;Fine Applestore;;
laptop gaming Asus tuf A15-fx506 Ryzen5-4600 GTX 1650ram 8gb/SSD 512gb;Rp8.750.000;Bandung;P COMP STORE;;
Lenovo Ideapad Slim 3 14AMN8 [R3-7320U/8GB/512GB SSD/FHD/Win11+OHS];Rp6.399.000;Medan;INTIKOM STORE;5.0;3 terjual
Lenovo LOQ Gaming 15IAX9I - i5 12450HX 8GB 512GB SSD Arc A530M W11+OHS;Rp11.449.000;Jakarta Pusat;AMT IT Store;;
LAPTOP LENOVO IDEAPAD SLIM 3 - RYZEN 5 5500U 8GB 512GB SSD WIN10 + OHS;Rp7.899.000;Jakarta Pusat;HOSANA COMPUTER;;40+ terjual
Acer Nitro V 15 ANV15-51-542G/Core i5-13420H/8GB/512GB SSD/RTX2050 4GB;Rp12.075.000;Samarinda;Bintang Jaya Komputer Samarinda;;
Laptop ASUS TUF GAMING F15 FX506LH Intel Core i7-10750H 8GB SSD 512GB;Rp10.599.000;Bandung;backtolaptop BANDUNG;;
ACER NITRO V15 ANV15 51 542G I5-13420H 8GB 512GB RTX2050 4GB FHD WIN11;Rp10.859.000;Jakarta Pusat;Vicmic Indonesia;;
MSI GF63 THIN 12UC 1077ID RTX3050 Intel Core i5-12450H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp11.299.000;Malang;GASOL LAPTOP;;
LENOVO GAMING 3i 15IHU6-93ID Core i5-11320H 8GB 512SSD RTX3050 Win11;Rp12.999.000;Malang;kharismakencana;5.0;1 terjual
Lenovo Gaming LOQ C9iD Ryzen 7-7840HS|8GB|512GB|RTX3050|Win11 Home+OHS;Rp14.000.000;Jakarta Pusat;ABtech;;
ASUS ROG G531GV I7R6G1T - i7-9750H 8Gb SSD512 RTX2060;Rp23.993.000;Jakarta Utara;OrKa;5.0;3 terjual
"ASUS TUF GAMING F15 FX507VV4 i9-13900H RTX4060 8GB 512GB 15.6"" W11 OHS";Rp22.999.000;Jakarta Pusat;HOSANA COMPUTER;;
LAPTOP INTEL CORE I7 RAM 8GB SSD 512GB WINDOWS 11 VGA GTX  4GB GAMING ;Rp5.700.000;Bogor;MILENIAL TECH;;
Asus ROG STRIX G512LI-I565BT/Core i5-10300H/8GB/512GB/GTX1650Ti/144Hz;Rp16.919.000;Jakarta Pusat;INFONET Mangga Dua;5.0;4 terjual
Lenovo LOQ Gaming 15IRH8 Core i5 12450H 8GB 512GB 3050;Rp14.399.000;Semarang;KLA Computer;;
LENOVO IDEAPAD SLIM 5 15 I7-1255 8GB 512GB W11 15.6FHD IPS BACKLIGHT;Rp9.099.000;Jakarta Utara;Gateway Indonesia Comp;5.0;3 terjual
LENOVO IDEAPAD 3 15ACH6-7FID RTX2050 Ryzen 5 5500H 512GB SSD 8GB RAM;Rp10.046.000;Malang;GASOL;;
NB ACER NITRO V15 ANV15-51-542G I5-13420H/8GB/512GB SSD/RTX2050 4GB/FH;Rp10.650.000;Medan;68 Computer Medan;;
Lenovo Gaming Loq 15 Rtx3050 I5 12450H 8Gb 512Gb W11+Ohs 15.6Fhd 144Hz;Rp7.975.000;Jakarta Utara;Luxe Language;;
"ACER PREDATOR HELIOS NEO 16 PHN16-71-51TN 16"" RTX 4050 I5-13450HX 8GB 512GB";Rp16.999.000;Jakarta Timur;Acer Store Official;;
"Lenovo LOQ Gaming RTX3050 6GB Ryzen 7 7840HS 8GB 512SSD 15.6"" 144Hz 2Y";Rp14.799.000;Jakarta Utara;Lenovo Yoga Official;5.0;2 terjual
Lenovo IdeaPad Gaming 3 15ARH7 I RTX4050 6GB RYZEN 5 7535HS 8GB 512GB;Rp14.019.000;Semarang;Agres ID Semarang.;;
"Laptop Touchscreen Lenovo Ideapad Flex 7 Intel i7 16GB 1TB SSD 14"" - Like New|512GB, Unit Standar";Rp10.599.000;Bandung;BEC Baru;5.0;1 terjual
Laptop sekolah Lenovo ideapad Slim 1 Intel N4020 4Gb 640 Gb Cloud Grey - 128GB EMMC, UNIT BONUS;Rp3.699.000;Bandung;BELILAPTOP ID;5.0;1 terjual
Laptop Gaming Acer Nitro 5 AN515 RTX 3050 i5 12500H 16GB 1TB SSD RGB - LAPTOP + BONUS, 8GB, 512GB SSD;Rp11.499.000;Tangerang Selatan;Super Store Laptop;;
ASUS ROG STRIX G513RM RYZEN 7 6800 32GB 1TB SSD RTX3060 W11 15.6FHD - RAM 16GB/1TBSSD, LAPTOP;Rp15.549.000;Jakarta Utara;ProStoreComputer;5.0;50+ terjual
Gaming NoteBook DELL G5 15 5505 -Ryzen 9 - 512 GB SSD - Win - Radeon;Rp22.302.000;Surabaya;Technosify;;
Asus VivoBook 14 A416MAO-FHD426/FHD427 Intel N4020 8GB 256GB 14″ FHD W11+OHS - 4 gb;Rp4.098.000;;;5.0;30+ terjual
"Lenovo IdeaPad Slim 3 14IAU7 Core i3-1215U 8GB 512GB SSD 14"" W11+OHS21 - Abbys Blue";Rp6.259.000;;;5.0;7 terjual
"ASUS Vivobook 14 E1404FA-FHD554/FHD555 R5-7520U UMA 8GB 512GB 14""FHD - Green Grey";Rp7.399.000;;;;1 terjual
Gaming NoteBook DELL G5 15 5505 -Ryzen 9 - 512 GB SSD - Win - Radeon;Rp22.302.000;Surabaya;Technosify;;
Laptop Baru Gaming HP Victus Core i5 13420H (Gen 13) RTX 3050 6GB144HZ - 8/512;Rp13.000.000;Jakarta Pusat;RumahNotebook;;
LENOVO IDEAPAD SLIM 3i 14 I3 1115G4 8GB 512SSD W10+OHS 14.0FHD - RAM 4GB/256SSD, LAPTOP;Rp5.099.000;Jakarta Utara;ProStoreComputer;4.9;40+ terjual
Lenovo Ideapad Slim 3 14IAH8 Intel Core i5 12450H RAM 8GB 512GB SSD - LAPTOP + BONUS, ABYSS BLUE;Rp8.099.000;Tangerang Selatan;Super Store Laptop;;
Laptop pelajar lenovo ideapad slim 1 15 ryzen 3 gen 7 ssd 512gb Blue - 8GB/256GB, PAKET STANDAR;Rp4.949.000;Bandung;Eksklusif Komputer;;
LENOVO Ideapad 3 14IAU7 I3 1215U 8GB 512GB WIN 11;Rp6.450.000;Jambi;Lenovo Authorized Jambi;5.0;2 terjual
ACER NITRO V 15 ANV15 intel i5 13420h 8GB 512GB RTX 2050 4GB Win11 ;Rp11.195.000;Malang;F modern store;;
Lenovo Gaming LOQ 3CiD Ryzen 5 7640HS|8GB|512GB SSD| RTX4050|Win11+OHS;Rp14.950.000;Jakarta Pusat;ABtech;;
ACER PREDATOR HELIOS NEO 16-71-55MQ - I5 13500HX 8GB 512GB SSD RTX4050;Rp16.699.000;Jakarta Pusat;ANUGERAH DIGITAL LESTARI;;
Asus TUF Gaming FX506LI Intel Core i5-10300H/8GB /512 GB/GTX 1650Ti;Rp8.800.000;Bandung;WawallstoreLaptop;4.0;1 terjual
Laptop Baru LENOVO IDEAPAD SLIM 1 14 N4020 4GB 25GB SSD 14.0 Win11 Grey - NON ANTIGORES, 128GB;Rp3.599.000;Jakarta Pusat;UPCOM.ID;;
Laptop Notebook Dell Gaming G3 3579 - i7 - 2 TB - 4 - Win - VGA;Rp14.799.000;Surabaya;Technosify;;
LAPTOP DESAIN MURAH !! LENOVO IDEAPAD AMD A9 RAM 8GB/512GB SSD-8GB/1TB - 4GB/500GB;Rp2.600.000;Jakarta Barat;RedStar Electronic;4.6;6 terjual
Gaming Laptop MSI GT75 TITAN 8RF - ORIGINAL - Second/Seken/Bekas;Rp11.500.000;Jakarta Barat;Second Ori Berkualitas;;
NOTEBOOK ACER NITRO AN515-58-55E6 I5-12500H 8/512 RTX 3050 WIN 11 15,6;Rp13.625.000;Surabaya;dbclick;;
LENOVO IDEAPAD GAMING 3 15IAH7 - 8CID | I7-12650H | SSD 512GB;Rp17.199.000;Kab. Sleman;PEMMZ YOGYA;5.0;1 terjual
Lenovo LOQ Gaming Ryzen 5 8645HS RTX4050 512GB SSD 8GB 144Hz IPS Win11;Rp16.499.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
Lenovo Gaming LOQ 15AHP9 Ryzen 7 8845HS 8GB 512GB SSD RTX™4050 6GB;Rp17.899.000;Jakarta Pusat;AMT IT Store;;
ASUS ROG STRIX G15 G513QC RYZEN 5 5600 RTX3050 8GB 512GB W10 144HZ IPS;Rp11.899.000;Jakarta Utara;LAPTOP MURAH MURAH;;1 terjual
HP VICTUS 15 FA1094TX RTX2050 Intel Core i5 12450H 512GB SSD 8GB RAM Gaming Notebook Laptop;Rp11.399.000;Malang;GASOL LAPTOP;;
LENOVO IDEAPAD SLIM 3 14 RYZEN 5 5500 8GB 512SSD VEGA7 W11 14.0FHD;Rp7.799.000;Jakarta Pusat;Firstech;5.0;2 terjual
LENOVO IDEAPAD GAMING 3 15ARH7 RYZEN 5-7535HS 8GB 512GB RTX 2050;Rp9.490.000;Jakarta Utara;pedaganglaptop;;
LAPTOP GAMING ACER NITRO V15 ANV15-51-542G I5-13420H 8GB 512GB W11+OHS;Rp10.649.999;Kab. Sidoarjo;S4TU COM;;
ASUS ROG STRIX G15 G513RC RYZEN 7-6800H 8GB 512GB RTX3050 144Hz W11;Rp17.999.000;Jakarta Pusat;FIRE TECH;5.0;1 terjual
"Lenovo LOQ Gaming i7-13650HX RTX 3050 6GB 8GB 512GB SSD 15.6"" FHD Win11Home + OHS 2021";Rp15.699.000;Jakarta Pusat;theidea_co;;
Laptop Lenovo Ideapad Slim 1 15 Intel Pentium N5030 RAM 4GB Storage 256GB - LAPTOP + BONUS, 128GB;Rp3.799.000;Tangerang Selatan;Super Store Laptop;;
Laptop sekolah Lenovo ideapad slim 1 14 N4020 4gb 256gb silver - 128GB, PAKET STANDAR;Rp3.549.000;Bandung;Eksklusif Komputer;5.0;1 terjual
LENOVO IDEAPAD FLEX 5 14ITL INTEL CORE i5 1135G7 RAM 8GB 512GB SSD FHD - LAPTOP + BONUS, FLEX7 512GB NEW;Rp11.349.000;Tangerang Selatan;NUSANTARA COMPUTER ID;;2 terjual
Laptop Murah Lenovo Ideapad Slim 1 14 N4020 4Gb 512Gb SSD Win11 Grey - 128GB, PROMO UNIT;Rp3.599.000;Bekasi;KLIK Tech;;
