nama;harga;lokasi;toko;rating;terjual
"LENOVO LOQ GAMING 15APH8 RYZEN 5-7640HS 512GB RTX4050 6GB 15.6"" W11";Rp15.499.000;Jakarta Pusat;Protech Computer;5.0;9 terjual
ACER NITRO V RTX2050 |  I5 13420H 8GB 512GB W11+OHS;Rp10.899.000;Yogyakarta;AGRES ID JOGJA;5.0;5 terjual
"Lenovo LOQ 15 Gaming RTX3050 6GB Ryzen 5 7640HS 8GB 512SSD 15.6"" 144Hz";Rp13.299.000;Jakarta Pusat;Lenovo Legion Official;4.9;40+ terjual
Laptop Lenovo LOQ Gaming i5-12450HX 8GB 512GB SSD ARC A530M 100%sRGB;Rp11.099.000;Jakarta Barat;Conan Tech;;
"ACER NITRO 5 AN515-58 i7-12700H 16GB 512GB RTX4060 8GB 15.6"" OHS W11";Rp17.449.000;Jakarta Pusat;Protech Computer;5.0;7 terjual
ASUS TUF GAMING A15 FX506II R7-4800H 8GB 512GB GTX1650TI IPS 144Hz W10;Rp15.999.000;Jakarta Pusat;HOSANA COMPUTER;5.0;1 terjual
PRJ Lenovo LOQ 15 Gaming Rtx4050 6gb R5 7640HS 8gb 512 ssd Win11+OHS;Rp14.999.000;Jakarta Pusat;LAPTOP GADGET ID;5.0;1 terjual
"LENOVO LOQ GAMING 15IRH8 i7-13620H 8GB 512GB RTX4050 6GB 15.6"" OHS W11";Rp17.799.000;Jakarta Pusat;Protech Computer;5.0;7 terjual
ACER NITRO V 15 I5 13420H RTX4050 8GB 512GB 15.6FHD 144HZ IPS;Rp14.099.000;Bandung;Agres ID Bandung;5.0;2 terjual
"LENOVO IdeaPad Slim 3 14IAU7 i3-1215U 256GB 14"" FHD Intel UHD W11 OHS";Rp6.099.000;Jakarta Pusat;Lenovo Legion Official;4.7;30+ terjual
Lenovo Ideapad Slim 5i Intel Ultra 5 125H 512GB SSD 16GB OLED Win11;Rp12.899.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;2 terjual
Lenovo Ideapad Slim 5 16 Touch i7 1355 16Gb 512Gb W11 16.0Fhd Ips;Rp9.899.000;Jakarta Utara;Gaming Laptop ID;5.0;4 terjual
LENOVO IDEAPAD MIIX 510-12ISK CORE i7-6500U 8GB RAM 256 (SSD LCD);Rp2.599.000;Jakarta Selatan;Liquidate-IT;4.9;70+ terjual
"LENOVO IdeaPad 5 2-in-1 Ryzen 7-8845HS 16G 512G 14"" WUXGA X360 W11 OHS";Rp12.899.000;Jakarta Pusat;Collins Official;5.0;4 terjual
LENOVO LOQ Gaming 15IRX9 Core i5 13450HX 8GB 512GB RTX 3050 W11+OHS;Rp13.599.000;Tasikmalaya;Lenovo Authorized Tasik;;
Laptop Lenovo LOQ Gaming Ryzen 5 8645HS RTX4050 8GB 512GB SSD IPS W11;Rp15.599.000;Jakarta Barat;Conan Tech;;
Lenovo IdeaPad Gaming 3 15ARH7 I RTX4050 6GB RYZEN 5 7535HS 8GB 512SSD;Rp13.999.000;Yogyakarta;AGRES ID JOGJA;5.0;14 terjual
Lenovo Gaming LOQ 15 RTX4060 8GB i7 13650HX 20GB 512GB 15.6FHD OHS W11;Rp19.599.000;Jakarta Utara;Top Tech;5.0;2 terjual
Lenovo Ideapad Gaming 3 15 RTX4050 6GB | RYZEN 7 7735HS 8GB 512SSD;Rp15.199.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;5.0;12 terjual
ASUS ROG ZEPHYRUS M GU502GU I7-9750 8GB SSD512 GTX1660 6GB;Rp23.992.000;Jakarta Utara;OrKa;5.0;2 terjual
PRJ Lenovo Ideapad Gaming 3I 15 RTX3050 4GB I5 12450H 8GB 512 ssd Win;Rp12.875.000;Jakarta Pusat;LAPTOP GADGET ID;5.0;5 terjual
Lenovo Ideapad Slim 1 14 Ryzen 3 7320 8GB 512ssd RADEON 610M 14.0FHD;Rp5.449.000;Jakarta Utara;Gaming Laptop ID;4.8;40+ terjual
Acer Nitro V 15 GeForce RTX™2050 - i5 13420H 8GB 512GB W11+OHS 15.6FHD;Rp10.649.000;Surabaya;NVIDIA GeForce Official Surabaya;5.0;5 terjual
ASUS TUF Gaming F15 FX507ZC4 I535B1M-O Core i5 11400H 8GB 512GB 3050;Rp12.485.000;Jakarta Pusat;Best Buy Notebook;;
Acer Nitro 5 GeForce RTX™ 3050 - i5 12500H 8GB 512GB W11+OHS AN515-58;Rp17.325.000;Surabaya;NVIDIA GeForce Official Surabaya;5.0;10 terjual
PRJ LENOVO GAMING 3 15 RTX3050 4GB RYZEN 7 5800H 8GB 512SSD W11;Rp13.199.000;Jakarta Pusat;LAPTOP GADGET ID;5.0;1 terjual
"ASUS TUF GAMING F15 FX506H I7 11800H 8GB 512GB PCIe RTX2050 4GB 15.6""";Rp12.349.000;Jakarta Pusat;INFONET Mangga Dua;;
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
Lenovo IdeaPad Gaming 315IAH7 i7-12650 8GB 512GB SSD W11+OHS RTX 3050;Rp15.600.000;Cirebon;Lenovo Authorized Cirebon;5.0;3 terjual
Lenovo IdeaPad Gaming 3 15ACH6 (Ryzen 5-5500H 8GB 512GB RTX 2050);Rp10.399.000;Medan;Komputer Medan Official;5.0;1 terjual
Laptop Gaming MSI Thin 15 B13UC-1430 i7-13620H RTX3050 8GB 512GB;Rp12.699.000;Surabaya;Level99ID;5.0;2 terjual
"ASUS TUF Gaming F15 FX507VV i7-13620H RTX4060 8GB 512GB 15.6"" W11 OHS";Rp20.299.000;Jakarta Pusat;Protech Computer;5.0;4 terjual
Lenovo Ideapad Slim 3i 14 i7 1165G7 8GB 512ssd MX450 2GB W10+OHS 14.0F;Rp10.199.000;Jakarta Utara;Gaming Laptop ID;5.0;3 terjual
ASUS GAMING TUF FX505GT I5 9300 8GB 512GB SSD GTX 1650 144HZ;Rp11.998.000;Jakarta Utara;OrKa;5.0;1 terjual
Acer Predator Helios Neo 16 PHN16 71 55MQ i5 13420HX 8GB 512GB RTX4050;Rp16.999.000;Kab. Bogor;IT Galeri Cibinong City Mall;;
"Laptop HP Gaming Victus 15-FA1094TX-15,6""/I5-12450H/8GB/512GB/RTX-2050";Rp10.299.000;Surabaya;Level99id - HP Authorized;5.0;1 terjual
"LENOVO IP GAMING 3 JHID	R5-7535H/8GB/512GB/15.6""FHD/RTX2050-4GB";Rp10.599.000;Surabaya;NACompIT;5.0;4 terjual
LENOVO LOQ GAMING 15 RTX3050 RYZEN 5 7640HS 8GB 512GB W11+OHS 15.6FHD;Rp12.949.000;Medan;Agres ID Medan;;
Lenovo IdeaPad Gaming 3 Ryzen 5 7535HS Nvidia RTX 4050 8GB 512GB SSD;Rp14.499.000;Jakarta Pusat;theidea_co;5.0;3 terjual
"Laptop Gaming MSI GF63 11UC 1204 i5-11400H 8GB/512GBRTX3050/15.6""FHD";Rp9.899.000;Surabaya;Level99ID;5.0;2 terjual
Laptop Gaming ASUS TUF FX507ZC4-I535B1M-O|i5-12500H/RTX3050/8GB/512GB;Rp12.485.000;Surabaya;Level99ID;;
Lenovo Ideapad Gaming 3 15IHU6 | i5 11320H RTX2050 8GB 512GB W11+OHS;Rp10.699.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;;
Asus TUF Gaming F15 FX506HF-I525B6T-O [Core i5-11400H/8GB/512GB SSD];Rp10.999.000;Medan;INTIKOM STORE;5.0;2 terjual
LENOVO IDEPAD GAMING 3 - 1CID R7 5800H 8GB 512SSD RTX3050TI W11+OHS;Rp16.999.000;Jakarta Selatan;UC.Technology;5.0;1 terjual
Acer Predator Triton 300 PT315-51 i5-9300H GTX1650 8GB 512GB NVMe;Rp15.999.000;Jakarta Pusat;Acer Official Store;5.0;8 terjual
Lenovo Ideapad Slim 3 AMD Ryzen 7 7730U 8GB 512GB SSD Win 11 FHD IPS;Rp9.199.000;Jakarta Utara;Thinkpad Official Store;5.0;1 terjual
Lenovo IdeaPad Gaming 3 15IHU6 | i5 11320H 8GB 512GB GTX2050 W11+OHS;Rp10.699.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;5.0;1 terjual
"LENOVO GAMING 3 F1ID Core i5-12500H 8GB 512SSD RTX3050 15.6""FHD Win11";Rp11.999.000;Malang;kharismakencana;5.0;2 terjual
ASUS TUF GAMING A16 FA617NS RYZEN 7 7735HS RX7600S 8GB 16GB 512GB OHS;Rp17.899.000;Jakarta Pusat;Trust IT Store;5.0;1 terjual
Laptop Baru  AMD RYZEN 7 7730U 16GB 1TB SSD HP 14 INCI TOUCHSCREEN UNTUK AUTOCAD SOLIDWORK DAN GAME RINGAN;Rp8.800.000;Jakarta Pusat;RumahNotebook;;
Lenovo Legion Go Ryzen Z1 Extreme 512GB SSD 16GB IPS Touch Win11;Rp13.499.000;Tangerang;Lenovo Authorized Tangerang;4.8;29 terjual
Lenovo Ideapad Slim 5 16 Touch Core i7 1355 16GB 512GB W11 16.0FHD IPS;Rp10.099.000;Jakarta Utara;EnVicStore;5.0;16 terjual
"ACER NITRO 5 AN515-58 i5-12500H 16GB 512GB RTX3050 4GB 15.6"" OHS W11";Rp12.089.000;Jakarta Pusat;Protech Computer;4.9;100+ terjual
Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD  FHD 14 Inch Win 11 OHS;Rp6.099.000;Jakarta Utara;Thinkpad Official Store;4.9;100+ terjual
"MSI THIN GF63 12UCX i7-12650H 8G 512GB RTX2050 15.6"" FHD 144HZ W11 - DDR4 8GB";Rp10.999.000;;;4.7;70+ terjual
"MSI THIN GF63 12UCX i5-12450H 8G 512GB RTX2050 15.6"" FHD 144HZ W11 - DDR4 8GB";Rp9.599.000;;;5.0;100+ terjual
"MSI Cyborg 15 A12VE i5-12450H 16GB 512GB RTX4050 15.6"" FHD 144Hz W11";Rp13.499.000;;;5.0;100+ terjual
Laptop LENOVO IDEAPAD SLIM 1 15 RYZEN 3 7320 4GB 256GB W11 15.6FHD IPS;Rp4.599.000;Jakarta Utara;Gaming Laptop ID;5.0;6 terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
"Lenovo IdeaPad Slim 3i 14IAH8 Core i5-12450H 8GB 512GB Intel UHD 14""";Rp9.098.979;Jakarta Pusat;TeknoTrend;5.0;9 terjual
LENOVO Legion 9i 16IRX8 GeForce RTX™ 4090 -  i9 13980HX  64GB 2TB SSD ;Rp76.999.000;Tangerang;Lenovo Authorized Tangerang;;
LENOVO IDEAPAD SLIM 5 14IMH9 ULTRA 5 125H 16GB 512GB W11+OHS ;Rp12.100.000;Jakarta Pusat;Lenovo Legion Official;5.0;17 terjual
"LENOVO LEGION SLIM 7 16IRH8 i7-13700H 512GB RTX4060 8GB 16"" OHS W11";Rp25.399.000;Jakarta Pusat;Protech Computer;5.0;4 terjual
ACER Nitro V 15 ANV15 51 5115 Core i5 13420H 8GB 512GB RTX4050 W11 OHS;Rp14.799.000;Denpasar;Blessing Computer Bali;5.0;3 terjual
LENOVO IDEAPAD GAMING 3 RYZEN 5 5500H RTX2050 4GB 8GB 512GB W11+OHS;Rp9.799.000;Surabaya;Agres ID Surabaya;5.0;10 terjual
IDEAPAD GAMING 3 15IAH7 LQID i5 12450H 8GB 512SSD RTX3050 W11+OHS;Rp13.199.000;Malang;kharismakencana;5.0;1 terjual
Lenovo Ideapad Gaming 3 Ryzen 5 5500h 16GB 512SSD RTX2050 FHD 144HZ;Rp9.723.000;Kediri;hexxacom;5.0;100+ terjual
"Laptop Lenovo Ideapad Slim 1 Ryzen 3-7320U 4GB 512ssd R610m W11 15.6""";Rp4.599.000;Jakarta Utara;Top Tech;5.0;21 terjual
"Laptop Lenovo IdeaPad Flex 5 Core i3-1115G4 8GB 512GB SSD 14"" FHD - Grey 8/256";Rp7.398.979;Jakarta Pusat;TeknoTrend;4.8;100+ terjual
Lenovo Ideapad Pro 5i Intel Ultra 7 155H 1TB SSD 32GB 2.8K OLED 120Hz Win11+OHS;Rp18.499.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
"Lenovo Ideapad Slim PRO 7 14 Touch i7 1360P 16GB 1TB W11 14""FHD 2.8k";Rp12.799.000;Jakarta Utara;Top Tech;;4 terjual
Lenovo Ideapad Pro 5i Intel Ultra 7 155H 1TB SSD 32GB 2.8K OLED 120Hz Win11+OHS;Rp18.499.000;Tangerang;Lenovo Authorized Tangerang;;
"ASUS TUF Gaming F15 FX507VV4 i7-13620H RTX4060 8GB 512GB 15.6"" W11 OHS";Rp20.299.000;Jakarta Pusat;Collins Official;5.0;5 terjual
